category,food_type,manufacturer,product,description,upc,delivered_price,delivered_case_price,price_per_unit,price_per_oz,pack_size_raw,cases_per_pallet,lead_time_days,min_pallet_qty,mixed_pallet,available,has_promo,main_category,sub_category,product_id,product_url
Canned Goods,Food,Iberia,IBERIA BLACK BEANS,IBERIA BLACK BEANS,7566910228,3845.00,38.45,3.20,0.11,12/29 oz,100,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599149,https://epallet.com/product/iberia-ep-iberia-black-beans-599149
Canned Goods,Food,Iberia,IBERIA PINTO BEANS,IBERIA PINTO BEANS,7566910198,3845.00,38.45,3.20,0.11,12/29 oz,100,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599148,https://epallet.com/product/iberia-ep-iberia-pinto-beans-599148
Canned Goods,Food,Iberia,IBERIA RED PIMIENTOS TIN,IBERIA RED PIMIENTOS TIN,7566911612,1844.40,30.74,1.28,0.18,24/7 oz,60,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599147,https://epallet.com/product/iberia-ep-iberia-red-pimientos-tin-599147
Canned Goods,Food,Hereford,Hereford Roast Beef w/ Gravy,Roast Beef w/ Gravy,7161590102,11266.56,58.68,4.89,0.41,12/12 oz,192,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599112,https://epallet.com/product/hereford-ep-hereford-roast-beef-w-gravy-599112
Canned Goods,Food,La Preferida,LA PREFERIDA REFRIED BEAN AUTHENTIC,LA PREFERIDA REFRD BEAN AUTHENTIC,7152410294,2918.25,38.91,1.62,0.10,24/16 oz,75,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599094,https://epallet.com/product/la-preferida-ep-la-preferida-refried-bean-authentic-599094
Canned Goods,Food,La Preferida,LA PREFERIDA FAT FREE REFRIED BEANS,LA PREFERIDA FF REFRIED BEANS,7152410035,3559.80,20.94,1.74,0.11,12/16 oz,170,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599092,https://epallet.com/product/la-preferida-ep-la-preferida-fat-free-refried-beans-599092
Canned Goods,Food,La Preferida,LA PREFERIDA PINTO BEANS,LA PREFERIDA PINTO BEANS,7152402003,3320.00,33.20,2.77,0.10,12/29 oz,100,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599090,https://epallet.com/product/la-preferida-ep-la-preferida-pinto-beans-599090
Canned Goods,Food,La Preferida,LA PREFERIDA CHEDDAR CHEESE SAUCE,LA PREFERIDA CHEDDAR CHEESE SAUCE,7152430250,4668.00,31.12,2.59,0.17,12/15 oz,150,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599089,https://epallet.com/product/la-preferida-ep-la-preferida-cheddar-cheese-sauce-599089
Canned Goods,Food,La Preferida,LA PREFERIDA BEEF & PORK TAMALES,LA PREFERIDA BF PORK TAMALES,7152410339,4469.30,26.29,2.19,0.15,12/15 oz,170,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599088,https://epallet.com/product/la-preferida-ep-la-preferida-beef-pork-tamales-599088
Canned Goods,Food,La Preferida,LA PREFERIDA REFRIED BEANS CHORIZO,LA PREFERIDA REFRD BEANS CHORIZO,7152410289,4302.70,25.31,2.11,0.13,12/16 oz,170,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599087,https://epallet.com/product/la-preferida-ep-la-preferida-refried-beans-chorizo-599087
Canned Goods,Food,La Preferida,LA PREFERIDA WHOLE CHIPOTLE PEPPERS,LA PREFERIDA WHLE CHIPOTLE PEPPRS,7152416070,7240.80,51.72,2.16,0.31,24/7 oz,140,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599086,https://epallet.com/product/la-preferida-ep-la-preferida-whole-chipotle-peppers-599086
Canned Goods,Food,La Preferida,LA PREFERIDA PINTO BEANS,LA PREFERIDA PINTO BEANS,7152401996,3058.16,54.61,4.55,0.09,12/50 oz,56,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599085,https://epallet.com/product/la-preferida-ep-la-preferida-pinto-beans-599085
Canned Goods,Food,La Preferida,LA PREFERIDA GREEN CH ENCHILADA SAUCE,LA PREFERIDA GRN CH ENCHILADA SCE,7152415475,4365.00,24.25,2.02,0.20,12/10 oz,180,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599084,https://epallet.com/product/la-preferida-ep-la-preferida-green-ch-enchilada-sauce-599084
Canned Goods,Food,La Preferida,LA PREFERIDA NACHO CHEESE SAUCE,LA PREFERIDA NACHO CHEESE SAUCE,7152430255,4668.00,31.12,2.59,0.17,12/15 oz,150,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599083,https://epallet.com/product/la-preferida-ep-la-preferida-nacho-cheese-sauce-599083
Canned Goods,Food,La Preferida,LA PREFERIDA HOT SLICED NACHO JALAPENOS,LA PREFERIDA HT SLCED NACHO JALAP,7152416658,3500.94,30.71,2.56,0.12,12/11.5 oz,114,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599082,https://epallet.com/product/la-preferida-ep-la-preferida-hot-sliced-nacho-jalapenos-599082
Canned Goods,Food,La Preferida,LA PREFERIDA RED CHILE MILD ENCHILADA SAUCE,LA PREFERIDA ENCHILDA SAUCE,7152415465,4222.80,23.46,1.96,0.20,12/10 oz,180,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599080,https://epallet.com/product/la-preferida-ep-la-preferida-red-chile-mild-enchilada-sauce-599080
Canned Goods,Food,La Preferida,LA PREFERIDA DICED GREEN CHILIES,LA PREFERIDA DICED GREEN CHILIES,7152416007,7817.04,31.02,1.29,0.32,24/4 oz,252,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599079,https://epallet.com/product/la-preferida-ep-la-preferida-diced-green-chilies-599079
Canned Goods,Food,La Preferida,LA PREFERIDA SPANISH RICE CAN,LA PREFERIDA SPANISH RICE CAN,7152410405,3513.90,20.67,1.72,0.11,12/15 oz,170,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599078,https://epallet.com/product/la-preferida-ep-la-preferida-spanish-rice-can-599078
Canned Goods,Food,La Preferida,LA PREFERIDA BEAN W/JALAPENO,LA PREFERIDA BEAN W/JALAPENO,7152410219,4124.20,24.26,2.02,0.13,12/16 oz,170,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599077,https://epallet.com/product/la-preferida-ep-la-preferida-bean-wjalapeno-599077
Canned Goods,Food,La Preferida,LA PREFERIDA BLACK BEANS,LA PREFERIDA BLACK BEANS,7152401767,2613.75,34.85,1.45,0.10,24/15 oz,75,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599076,https://epallet.com/product/la-preferida-ep-la-preferida-black-beans-599076
Canned Goods,Food,La Preferida,LA PREFERIDA JALAPENO NACHO SLICES,LA PREFERIDA JALAPENO NACHO SLCES,7152416253,3767.70,33.05,2.75,0.24,12/11.5 oz,114,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599075,https://epallet.com/product/la-preferida-ep-la-preferida-jalapeno-nacho-slices-599075
Canned Goods,Food,La Preferida,LA PREFERIDA REFRIED BEAN AUTHENTIC CHUNKY STYLE,LA PREFERIDA REFRD BEAN AUTHENTIC,7152410261,3188.00,39.85,3.32,0.11,12/30 oz,80,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599074,https://epallet.com/product/la-preferida-ep-la-preferida-refried-bean-authentic-chunky-style-599074
Canned Goods,Food,La Preferida,LA PREFERIDA REFRIED BEAN AUTHENTIC,LA PREFERIDA REFRD BEAN AUTHENTIC,7152410294,2841.00,37.88,1.58,0.10,24/16 oz,75,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599073,https://epallet.com/product/la-preferida-ep-la-preferida-refried-bean-authentic-599073
